seller           ,day_of_week  ,income
Burt Gringlesby,Monday,118429815
Sylvia Panteley,Monday,96399427
Ann Dull,Monday,39656842
Heather McBadden,Monday,293014643
Livia Karsen,Monday,132386625
Dean Straight,Monday,192550177
Charlene Locksley,Monday,108450662
Morningstar Greene,Monday,67381290
Cheryl Carson,Monday,77977656
Marjorie Green,Monday,97539868
Meander Smith,Monday,52160238
Stearns MacFeather,Monday,30778276
Michel DeFrance,Monday,479584920
Sheryl Hunter,Monday,153301531
Michael O'Leary,Monday,138096277
Reginald Blotchet-Halls,Monday,103178571
Albert Ringer,Monday,392378037
Abraham Bennet,Monday,231845241
Dirk Stringer,Monday,759341454
Innes del Castillo,Monday,260992756
Johnson White,Monday,98560781
Anne Ringer,Monday,53386960
Albert Ringer,Tuesday,419021705
Reginald Blotchet-Halls,Tuesday,89298153
Johnson White,Tuesday,100275590
Dean Straight,Tuesday,183459091
Anne Ringer,Tuesday,55417862
Abraham Bennet,Tuesday,259058032
Marjorie Green,Tuesday,102488970
Charlene Locksley,Tuesday,102419645
Stearns MacFeather,Tuesday,31056505
Dirk Stringer,Tuesday,734550037
Innes del Castillo,Tuesday,285473369
Heather McBadden,Tuesday,267891418
Cheryl Carson,Tuesday,76905547
Morningstar Greene,Tuesday,67737440
Michael O'Leary,Tuesday,125258270
Burt Gringlesby,Tuesday,114454017
Livia Karsen,Tuesday,145696077
Michel DeFrance,Tuesday,467420386
Sylvia Panteley,Tuesday,99289901
Sheryl Hunter,Tuesday,163754750
Ann Dull,Tuesday,38097807
Meander Smith,Tuesday,63913954
Innes del Castillo,Wednesday,245730067
Michel DeFrance,Wednesday,439203900
Cheryl Carson,Wednesday,66729906
Dirk Stringer,Wednesday,642376642
Burt Gringlesby,Wednesday,119047498
Ann Dull,Wednesday,35589006
Heather McBadden,Wednesday,249479672
Charlene Locksley,Wednesday,106731411
Reginald Blotchet-Halls,Wednesday,80548671
Abraham Bennet,Wednesday,214842815
Albert Ringer,Wednesday,403718425
Dean Straight,Wednesday,168092851
Livia Karsen,Wednesday,156662691
Marjorie Green,Wednesday,94949352
Anne Ringer,Wednesday,46106241
Meander Smith,Wednesday,49655899
Johnson White,Wednesday,89036568
Morningstar Greene,Wednesday,64838804
Sheryl Hunter,Wednesday,140290965
Michael O'Leary,Wednesday,134525040
Stearns MacFeather,Wednesday,24953854
Sylvia Panteley,Wednesday,85876350
Burt Gringlesby,Thursday,103250742
Livia Karsen,Thursday,168820566
Reginald Blotchet-Halls,Thursday,89971577
Stearns MacFeather,Thursday,22585496
Charlene Locksley,Thursday,102081557
Johnson White,Thursday,91715664
Sylvia Panteley,Thursday,91590683
Sheryl Hunter,Thursday,148434253
Marjorie Green,Thursday,90204716
Morningstar Greene,Thursday,61407061
Meander Smith,Thursday,56688841
Cheryl Carson,Thursday,70730736
Michel DeFrance,Thursday,481154816
Anne Ringer,Thursday,55678731
Dean Straight,Thursday,182913507
Ann Dull,Thursday,36627441
Innes del Castillo,Thursday,247744631
Albert Ringer,Thursday,405676715
Michael O'Leary,Thursday,130193802
Dirk Stringer,Thursday,693463720
Heather McBadden,Thursday,289587875
Abraham Bennet,Thursday,226133920
Meander Smith,Friday,53551957
Innes del Castillo,Friday,231816497
Livia Karsen,Friday,172939429
Morningstar Greene,Friday,62929144
Anne Ringer,Friday,51753352
Cheryl Carson,Friday,80473505
Dean Straight,Friday,176048824
Sylvia Panteley,Friday,91390800
Charlene Locksley,Friday,97761374
Ann Dull,Friday,37433122
Heather McBadden,Friday,245868793
Albert Ringer,Friday,357492148
Sheryl Hunter,Friday,158669557
Burt Gringlesby,Friday,109360163
Michael O'Leary,Friday,142326764
Michel DeFrance,Friday,473980678
Reginald Blotchet-Halls,Friday,96796981
Marjorie Green,Friday,99954936
Stearns MacFeather,Friday,28022436
Abraham Bennet,Friday,233935361
Johnson White,Friday,91757929
Dirk Stringer,Friday,672023523
Stearns MacFeather,Saturday,27623848
Innes del Castillo,Saturday,245765313
Johnson White,Saturday,91955960
Livia Karsen,Saturday,142421334
Meander Smith,Saturday,53094397
Morningstar Greene,Saturday,64598714
Anne Ringer,Saturday,48579237
Abraham Bennet,Saturday,219357051
Marjorie Green,Saturday,95303142
Ann Dull,Saturday,37658782
Albert Ringer,Saturday,359055422
Reginald Blotchet-Halls,Saturday,92451664
Charlene Locksley,Saturday,100507641
Cheryl Carson,Saturday,69224918
Michael O'Leary,Saturday,131118669
Sheryl Hunter,Saturday,143802265
Dirk Stringer,Saturday,724561952
Dean Straight,Saturday,176094743
Heather McBadden,Saturday,260891531
Michel DeFrance,Saturday,480574641
Sylvia Panteley,Saturday,87097890
Burt Gringlesby,Saturday,108212068
Michael O'Leary,Sunday,125981634
Livia Karsen,Sunday,137975384
Stearns MacFeather,Sunday,27431434
Burt Gringlesby,Sunday,112782280
Sylvia Panteley,Sunday,95337213
Dean Straight,Sunday,176873005
Anne Ringer,Sunday,49050828
Heather McBadden,Sunday,266458384
Innes del Castillo,Sunday,244679491
Akiko Yokomoto,Sunday,0
Meander Smith,Sunday,56678279
Cheryl Carson,Sunday,69553595
Dirk Stringer,Sunday,698820601
Michel DeFrance,Sunday,438321488
Reginald Blotchet-Halls,Sunday,80496472
Abraham Bennet,Sunday,232328748
Johnson White,Sunday,88933984
Albert Ringer,Sunday,362985486
Ann Dull,Sunday,34138287
Charlene Locksley,Sunday,93745116
Morningstar Greene,Sunday,68473053
Marjorie Green,Sunday,104815534
Sheryl Hunter,Sunday,148514539
